pattern,metric,baseline_mean,baseline_std,challenger_mean,challenger_std,delta_abs,delta_pct,p_value,significant,sig_label,cohens_d,effect_size
agentic_rag,recall@5,0.609,0.3173,0.498,0.3115,-0.111,-18.23,0.0,True,***,-0.353,small
agentic_rag,precision@5,0.2448,0.1293,0.2004,0.1268,-0.0444,-18.14,0.0,True,***,-0.347,small
agentic_rag,recall@10,0.684,0.3037,0.508,0.3131,-0.176,-25.73,0.0,True,***,-0.571,medium
agentic_rag,precision@10,0.1378,0.0626,0.1022,0.0637,-0.0356,-25.83,0.0,True,***,-0.564,medium
corrective_rag,recall@5,0.609,0.3173,0.604,0.3182,-0.005,-0.82,0.0013,True,**,-0.016,negligible
corrective_rag,precision@5,0.2448,0.1293,0.2428,0.1297,-0.002,-0.82,0.0013,True,**,-0.015,negligible
corrective_rag,recall@10,0.684,0.3037,0.681,0.3046,-0.003,-0.44,0.0244,True,*,-0.01,negligible
corrective_rag,precision@10,0.1378,0.0626,0.1372,0.0628,-0.0006,-0.44,0.0244,True,*,-0.01,negligible
graph_rag,recall@5,0.609,0.3173,0.348,0.3535,-0.261,-42.86,0.0,True,***,-0.777,medium
graph_rag,precision@5,0.2448,0.1293,0.14,0.1434,-0.1048,-42.81,0.0,True,***,-0.767,medium
graph_rag,recall@10,0.684,0.3037,0.559,0.3422,-0.125,-18.27,0.0,True,***,-0.386,small
graph_rag,precision@10,0.1378,0.0626,0.1124,0.0696,-0.0254,-18.43,0.0,True,***,-0.384,small
hybrid_rag,recall@5,0.609,0.3173,0.651,0.2911,0.042,6.9,0.0,True,***,0.138,negligible
hybrid_rag,precision@5,0.2448,0.1293,0.262,0.1183,0.0172,7.03,0.0,True,***,0.139,negligible
hybrid_rag,recall@10,0.684,0.3037,0.745,0.273,0.061,8.92,0.0,True,***,0.211,small
hybrid_rag,precision@10,0.1378,0.0626,0.15,0.0564,0.0122,8.85,0.0,True,***,0.205,small
hyde_rag,recall@5,0.609,0.3173,0.602,0.3517,-0.007,-1.15,0.4307,False,ns,-0.021,negligible
hyde_rag,precision@5,0.2448,0.1293,0.242,0.1423,-0.0028,-1.14,0.4912,False,ns,-0.021,negligible
hyde_rag,recall@10,0.684,0.3037,0.679,0.3443,-0.005,-0.73,0.5539,False,ns,-0.015,negligible
hyde_rag,precision@10,0.1378,0.0626,0.1366,0.0702,-0.0012,-0.87,0.4811,False,ns,-0.018,negligible
multiquery_rag,recall@5,0.609,0.3173,0.607,0.3273,-0.002,-0.33,0.6876,False,ns,-0.006,negligible
multiquery_rag,precision@5,0.2448,0.1293,0.2444,0.134,-0.0004,-0.16,0.8456,False,ns,-0.003,negligible
multiquery_rag,recall@10,0.684,0.3037,0.685,0.312,0.001,0.15,0.8388,False,ns,0.003,negligible
